Sample,Original.label,Mouse ID,Mark,Cage,Transplant performed by:,Treatment,Gender,Birth Date,Transplant Date,Date of death,Weeks post-transplant at death,Status,Group,Reason for death
MIG.12,MB_miR BMT_MIG_1,325236,L,NA,Marion van den Bosch ,control,Male,2018-01-09,2018-03-28,2019-03-22,51.29,Dead.endpoint,Control,end point
MIG.13,MB_miR BMT_MIG_2,325237,B,NA,Marion van den Bosch ,control,Male,2018-01-09,2018-03-28,2019-03-22,51.29,Dead.endpoint,Control,end point
MIG.14,MB_miR BMT_MIG_3,325238,N,NA,Marion van den Bosch ,control,Male,2018-01-09,2018-03-28,2019-03-22,51.29,Dead.endpoint,Control,end point
MIG.15,MB_miR BMT_MIG_4,325239,R,NA,Marion van den Bosch ,control,Male,2018-01-09,2018-03-28,2018-08-12,19.57,Dead.endpoint,Control,general illness. Poor recovery after bone marrow aspirate; censored.
MIG.16,MB_miR BMT_MIG_5,325240,L,NA,Marion van den Bosch ,control,Male,2018-01-09,2018-03-28,2018-10-27,30.43,Dead.endpoint,Control,"general illness, eyes bulged, hunched. Poor recovery after peripheral bleed; censored."
miR532.17,MB_miR BMT_532_1,325241,B,NA,Marion van den Bosch ,miR-532,Male,2018-01-09,2018-03-28,2019-03-21,51.14,Dead.endpoint,Healthy.miR532,end point
miR532.18,MB_miR BMT_532_2,325242,N,NA,Marion van den Bosch ,miR-532,Male,2018-01-09,2018-03-28,2019-03-21,51.14,Dead.endpoint,Healthy.miR532,end point
miR532.19,MB_miR BMT_532_3,325243,R,NA,Marion van den Bosch ,miR-532,Male,2018-01-09,2018-03-28,2019-03-15,50.29,Dead.endpoint,Healthy.miR532,end point
miR532.20,MB_miR BMT_532_4,325244,L,NA,Marion van den Bosch ,miR-532,Male,2018-01-09,2018-03-28,2019-03-15,50.29,Dead.endpoint,Healthy.miR532,end point
miR532.21,MB_miR BMT_532_5,325245,B,NA,Marion van den Bosch ,miR-532,Male,2018-01-09,2018-03-28,2019-02-20,47,Dead.sick,Sick.532,general illness
MIG.17,PL_miR BMT_MIG_1,562212,N,227131,Patrick Lac,control,Male,2019-09-17,2019-12-05,NA,NA,Alive,Control,NA
MIG.18,PL_miR BMT_MIG_2,562213,L,227131,Patrick Lac,control,Male,2019-09-17,2019-12-05,NA,NA,Alive,Control,NA
MIG.19,PL_miR BMT_MIG_3,562222,R,227133,Patrick Lac,control,Male,2019-09-17,2019-12-19,NA,NA,Alive,Control,NA
MIG.20,PL_miR BMT_MIG_4,562223,B,227133,Patrick Lac,control,Male,2019-09-17,2019-12-19,NA,NA,Alive,Control,NA
MIG.21,PL_miR BMT_MIG_5,575356,L,232617,Patrick Lac,control,Male,2019-11-05,2020-01-24,NA,NA,Alive,Control,NA
MIG.22,PL_miR BMT_MIG_6,575358,B,232617,Patrick Lac,control,Male,2019-11-05,2020-01-24,NA,NA,Alive,Control,NA
MIG.23,PL_miR BMT_MIG_7,575365,N,232619,Patrick Lac,control,Male,2019-11-05,2020-01-24,NA,NA,Alive,Control,NA
MIG.24,PL_miR BMT_MIG_8,575368,B,232619,Patrick Lac,control,Male,2019-11-05,2020-01-24,NA,NA,Alive,Control,NA
MIG.25,PL_miR BMT_MIG_9,575370,N,232620,Patrick Lac,control,Male,2019-11-05,2020-01-24,NA,NA,Alive,Control,NA
miR532.22,PL_miR BMT_532_1,562214,R,227131,Patrick Lac,miR-532,Male,2019-09-17,2019-12-05,NA,NA,Alive,Healthy.miR532,NA
miR532.23,PL_miR BMT_532_2,562215,B,227131,Patrick Lac,miR-532,Male,2019-09-17,2019-12-05,NA,NA,Alive,Healthy.miR532,NA
miR532.24,PL_miR BMT_532_3,562218,N,229772,Patrick Lac,miR-532,Male,2019-09-17,2019-12-05,NA,NA,Alive,Healthy.miR532,NA
miR532.25,PL_miR BMT_532_4,562220,N,227133,Patrick Lac,miR-532,Male,2019-09-17,2019-12-19,NA,NA,Alive,Healthy.miR532,NA
miR532.26,PL_miR BMT_532_5,562221,L,227133,Patrick Lac,miR-532,Male,2019-09-17,2019-12-19,NA,NA,Alive,Healthy.miR532,NA
miR532.27,PL_miR BMT_532_6,575357,R,232617,Patrick Lac,miR-532,Male,2019-11-05,2020-01-24,NA,NA,Alive,Healthy.miR532,NA
miR532.28,PL_miR BMT_532_7,575359,1L2R,232617,Patrick Lac,miR-532,Male,2019-11-05,2020-01-24,NA,NA,Alive,Healthy.miR532,NA
miR532.29,PL_miR BMT_532_8,575367,R,232619,Patrick Lac,miR-532,Male,2019-11-05,2020-01-24,NA,NA,Alive,Healthy.miR532,NA
miR532.30,PL_miR BMT_532_9,575369,2L,232619,Patrick Lac,miR-532,Male,2019-11-05,2020-01-24,NA,NA,Alive,Healthy.miR532,NA
miR532.31,PL_miR BMT_532_10,575372,R,232620,Patrick Lac,miR-532,Male,2019-11-05,2020-01-24,NA,NA,Alive,Healthy.miR532,NA
miR532.32,PL_miR BMT_532_11,575373,B,232620,Patrick Lac,miR-532,Male,2019-11-05,2020-01-24,NA,NA,Alive,Healthy.miR532,NA
miR532.33,PL_miR BMT_532_12,575374,2R,232620,Patrick Lac,miR-532,Male,2019-11-05,2020-01-24,NA,NA,Alive,Healthy.miR532,NA
