Sample,Original.label,Treatment,Time post-transplant (weeks),WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
MIG.19,PL_miR BMT_MIG_3,control,16,9.2,11.25,16.8,54.7,49,14.9,30.7,968,6.2,16.1,60.1,7.3,32.6,5.5,0.6,3.1,56.3
MIG.20,PL_miR BMT_MIG_4,control,16,8.3,12.69,16.6,54.4,43,13.1,30.6,1116,6.5,17,34.2,5.1,60.7,2.8,0.4,5.1,7.71
MIG.21,PL_miR BMT_MIG_5,control,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.22,PL_miR BMT_MIG_6,control,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.23,PL_miR BMT_MIG_7,control,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.24,PL_miR BMT_MIG_8,control,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.25,PL_miR BMT_MIG_9,control,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.22,PL_miR BMT_532_1,miR-532,16,6.8,12.21,15.6,51.6,42,12.8,30.2,996,6.1,16.2,72.6,7.9,19.5,4.9,0.5,1.4,66.9
miR532.23,PL_miR BMT_532_2,miR-532,16,8.1,12.01,16,53.2,44,13.3,30,760,7,17.6,68.7,9.3,22,5.5,0.7,1.9,59
miR532.24,PL_miR BMT_532_3,miR-532,16,5.5,11.51,14.9,49.5,43,12.9,30,1146,6.1,15.5,79.9,7.2,12.9,4.3,0.3,0.9,84.2
miR532.25,PL_miR BMT_532_4,miR-532,16,6.6,11.27,16.4,52.8,47,14.6,31.1,872,6.1,15.6,49.4,7.3,43.3,3.2,0.4,3,18.9
miR532.26,PL_miR BMT_532_5,miR-532,16,8.4,10.87,15.6,49.7,46,14.4,31.4,598,6.6,17.4,69.3,7.8,22.9,5.8,0.6,2,17.8
miR532.27,PL_miR BMT_532_6,miR-532,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.28,PL_miR BMT_532_7,miR-532,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.29,PL_miR BMT_532_8,miR-532,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.30,PL_miR BMT_532_9,miR-532,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.31,PL_miR BMT_532_10,miR-532,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.32,PL_miR BMT_532_11,miR-532,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.33,PL_miR BMT_532_12,miR-532,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
